name,bppe_approved_email,bppe_approved_search,bppe_exempt
10-4 trucking,FALSE,FALSE,not on list
101 School of trucking,FALSE,FALSE,not on list
"160 California, LLC dba 160 Driving Academy",TRUE,TRUE,not on list
A class truck driving school,FALSE,FALSE,not on list
A Plus Trucking Academy Inc,FALSE,FALSE,not on list
A-1 Truck Driving School Inc,TRUE,TRUE,not on list
A.B.C. Schooling LLC,FALSE,FALSE,not on list
A&B Truck & Bus Driving School,FALSE,FALSE,Denied
A&J Truck Driving School,FALSE,FALSE,not on list
A2Z TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
"AAA Academy, LLC",FALSE,TRUE,not on list
AB TRUCK TRAINING LLC,FALSE,FALSE,not on list
Abylex Inc Truck Driving School,FALSE,FALSE,not on list
Academy of Truck Driving,TRUE,TRUE,not on list
Advance Bus & Truck Driving School,TRUE,TRUE,not on list
Advanced Career Institute,TRUE,TRUE,not on list
AGT Trucking School,FALSE,TRUE,not on list
"Akal Truck Driving School, LLC",FALSE,FALSE,not on list
Ali's Truck Driving School LLC,FALSE,FALSE,not on list
All In Cdl Training,FALSE,FALSE,not on list
"America Truck Driving School, Inc.",TRUE,TRUE,not on list
American Career Training,FALSE,TRUE,not on list
American Driving Club,FALSE,FALSE,not on list
American Skilled Trade University (ASTU),FALSE,FALSE,Approved
American Tech Logistics / Las Americas,FALSE,FALSE,not on list
american truck and bus driving school,FALSE,FALSE,not on list
Antelope Truck Driving School,FALSE,FALSE,not on list
Apache Truck Training Service,FALSE,FALSE,not on list
Apex Truck Driving School,FALSE,FALSE,not on list
Apna truck driving school,FALSE,FALSE,not on list
Arjuna Global Transportation,FALSE,FALSE,not on list
"ASD Logistic Services, Inc.",FALSE,FALSE,not on list
Atkar Truck Driving School,FALSE,FALSE,not on list
Avon Truck Driving School Inc,FALSE,FALSE,not on list
AZTLAN TRUCKING SCHOOL,FALSE,FALSE,not on list
Bajwa Truck Driving School,FALSE,FALSE,not on list
Bakersfield Truck Driving School,FALSE,FALSE,not on list
Banderas Rental LLC,FALSE,FALSE,not on list
beaumont school of trucking,FALSE,FALSE,not on list
bestway truck & bus cdl driving school,FALSE,FALSE,not on list
Big Daddi Trucking LLC,FALSE,FALSE,not on list
Big Rig Truck Driving School,FALSE,FALSE,not on list
Brigght life trucking school,FALSE,FALSE,not on list
BSC Truck Driving School INC,FALSE,FALSE,not on list
"C. R. England, Inc. DBA Premier Truck Driving School",TRUE,TRUE,not on list
California Human Development Corporation - ASET Center,FALSE,FALSE,Approved
CALIFORNIA TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
CAMINO REAL CAREER SCHOOL,FALSE,FALSE,not on list
"CDL Basic Training, LLC",FALSE,FALSE,not on list
Cdl instructor trucking LLC,FALSE,FALSE,not on list
CDL TRANSPORT,FALSE,FALSE,not on list
Center for Employment Training,TRUE,TRUE,not on list
CENTRAL BUS & TRUCK SCHOOL / Central Bus & Truck Driving School,FALSE,FALSE,not on list
"Central Valley Opportunity Center, Inc.",TRUE,TRUE,not on list
Central Valley Trucking School,FALSE,FALSE,not on list
"Certified Safe Driver, Inc.",FALSE,FALSE,Approved
Chayka Truck Driving LLC,FALSE,FALSE,Approved
Chosen 2 Trucking School,FALSE,FALSE,not on list
Coast to Coast Trucking School,FALSE,FALSE,Denied
"Coastal Trucking Institute, LLC",TRUE,TRUE,not on list
"College of Instrument Technology, dba CIT, dba Heavy Equipment Driver College, dba HED College",TRUE,TRUE,not on list
"COMMERCIAL DRIVER'S ACADEMY, LLC",FALSE,FALSE,not on list
Commercial Drivers License of California,FALSE,FALSE,not on list
"Commercial Transportation Services, Inc",FALSE,FALSE,not on list
Commercial Trucking School,FALSE,FALSE,not on list
Concrete Rose Correspondence School,FALSE,FALSE,not on list
COURAGE CDL TRAINING,FALSE,FALSE,not on list
Covenant Truck School,FALSE,FALSE,not on list
CP TRUCKING,FALSE,FALSE,not on list
CTDS Truck Driving School / Centro truck driving school,FALSE,FALSE,not on list
Dashmesh Trucking School,FALSE,FALSE,not on list
Dasmesh truck driving school,FALSE,FALSE,not on list
Dave School of Truck Driving,TRUE,TRUE,not on list
Delancey Street Academy,TRUE,TRUE,not on list
Diamond Truck Driving School,FALSE,FALSE,Approved
DM Truck Driving School,FALSE,FALSE,not on list
DOABA TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
Domestic Truck Driving School,FALSE,TRUE,not on list
"Donna's Instruction Hub, LLC",FALSE,FALSE,not on list
Double tap truck driving academy,FALSE,FALSE,not on list
Drive Safe Trucking,FALSE,FALSE,not on list
DTL Truck Driving School,FALSE,FALSE,not on list
dynasty trucking school,FALSE,FALSE,not on list
East Valley College,TRUE,FALSE,not on list
Easy Affordable Truck Academy,FALSE,FALSE,not on list
Easy CDL Truck Driving School,FALSE,FALSE,Approved
"Easy Truck Rental, Repair, & Towing",TRUE,TRUE,not on list
Economy Truck School,FALSE,FALSE,not on list
"Edison Truck and Bus Driving School, Inc.",TRUE,TRUE,not on list
el monte truck driving school,FALSE,FALSE,not on list
"ELDT Academy, LLC - Online & Travelling CDL Training",FALSE,FALSE,not on list
ELDT Solutions,FALSE,FALSE,not on list
ELITE EAGLE TRAINING LLC,FALSE,FALSE,not on list
Empire Freight Group LLC,FALSE,FALSE,not on list
Empire Truck Driving School,FALSE,FALSE,not on list
Empire Trucking School LLC,FALSE,TRUE,not on list
Empowered Women Transportation Inc,FALSE,FALSE,not on list
Fc CDL Inc.,FALSE,FALSE,not on list
Felipe's Truck Driving School,FALSE,FALSE,not on list
fifth wheel trucking,FALSE,FALSE,not on list
Flex Trucking School LLC,FALSE,FALSE,not on list
Flexible Truck Driving School,FALSE,FALSE,Approved
FlyFreight CDL ACADEMY,FALSE,FALSE,not on list
Freeway LLC,FALSE,FALSE,not on list
Fremont Truck Driving School,FALSE,FALSE,not on list
"Fresno Truck Driving School, Inc.",FALSE,FALSE,Approved
Fresno Truck Training,FALSE,FALSE,not on list
GHOLIA TRUCK DRIVING SCHOOL LLC,FALSE,FALSE,not on list
GO4CDL LLC,FALSE,FALSE,not on list
Gobind truck driving school,FALSE,FALSE,not on list
GOLDEN CDL RENTAL YUBA CITY,FALSE,FALSE,not on list
Golden Frame Inc. dba National Truck Driving,FALSE,FALSE,Denied
Golden Pacific Truck Driving School,FALSE,FALSE,not on list
Golden Truck Driving School Inc.,FALSE,FALSE,not on list
Green Valley Truck School,TRUE,TRUE,not on list
GSF Driving & Truck Training School,TRUE,TRUE,not on list
Gurmit truck academy inc,FALSE,FALSE,not on list
Halpin Transportation LLC DBA Halpin Trucking School,FALSE,FALSE,Approved
Hannas truck driving school,FALSE,FALSE,not on list
Harbor Trucking School,FALSE,FALSE,Approved
Harvest Training and Consulting,FALSE,FALSE,not on list
Haryana Truck Driving School,FALSE,FALSE,not on list
HB CDL Driving Academy,FALSE,FALSE,not on list
Hi-Desert Truck Driving School,TRUE,FALSE,not on list
"High Desert Truck School, LLC",FALSE,FALSE,Approved
HIGH IMPACT ACADEMY INC,FALSE,FALSE,not on list
Hot Shots Driving Clinics - CA,FALSE,FALSE,not on list
I-5 Trucking Academy LLC,FALSE,FALSE,not on list
in Motion Trucking School,FALSE,FALSE,not on list
indus truck school inc,FALSE,FALSE,not on list
International truck driving school,FALSE,FALSE,not on list
International truck school,FALSE,FALSE,not on list
J&R Trucking School,TRUE,TRUE,not on list
Jager Trucking School,FALSE,FALSE,not on list
"Jiffy's Truck School, LLC",TRUE,TRUE,not on list
Jose G. Campos Truck Driving Training,TRUE,TRUE,not on list
Junan Truck Driving School,FALSE,FALSE,not on list
king truck school,FALSE,FALSE,not on list
Local Driving School CDL,FALSE,FALSE,not on list
Lopez & Lopez Trucking LLC,FALSE,FALSE,not on list
Lopez Trucking,FALSE,FALSE,not on list
Los Angeles Trucking College,FALSE,FALSE,not on list
M&M logistic Trucking Inc,FALSE,FALSE,not on list
Maatson Trucking School,FALSE,FALSE,not on list
MAJOR EXPRESS TRUCK SCHOOL,FALSE,FALSE,not on list
Masters Trucking Academy,TRUE,TRUE,not on list
Mejor Express,FALSE,FALSE,not on list
MERCURY TRUCK DRIVING SCHOOL LLC,FALSE,FALSE,not on list
"Mid Valley Truck School, LLC",FALSE,FALSE,Approved
Mid-California Truck School,FALSE,FALSE,not on list
"MISSION TRUCK DRIVING SCHOOL, LLC",FALSE,FALSE,not on list
MM Commercial Training Services,FALSE,FALSE,not on list
Moga Truck School Inc.,FALSE,FALSE,not on list
MTS Training Academy,TRUE,TRUE,not on list
"Multipurpose Driving School, LLC",FALSE,FALSE,Approved
"NASTRUCK CDL School, LLC",FALSE,FALSE,not on list
NEW LEGEND TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
New Look Truck Driving School Inc,FALSE,FALSE,not on list
Nixon College,TRUE,TRUE,not on list
NorCal CDL Academy,FALSE,FALSE,not on list
Northwest Lineman College,TRUE,TRUE,not on list
NS Truck Driving School INC,FALSE,FALSE,not on list
Number 1 truck and car driving school llc,FALSE,FALSE,not on list
NUMERO 1 TRUCKING,FALSE,FALSE,not on list
On the move trucking school,FALSE,FALSE,not on list
P. Steve Ramirez Vocational Training Centers,TRUE,TRUE,not on list
Pacific Truck Driving School Inc.,FALSE,FALSE,not on list
Pacific Truck school,FALSE,FALSE,not on list
Perfect Truck School Inc,FALSE,FALSE,not on list
"Performance Trucking Academy, LLC",TRUE,TRUE,not on list
Performing Solutions,FALSE,FALSE,Denied
Pilot Trucking School,TRUE,TRUE,not on list
PJ Trucking Academy,FALSE,FALSE,not on list
premier trucking school,FALSE,FALSE,not on list
PRIME TRUCK SCHOOL LLC,FALSE,FALSE,not on list
Progress Trucking School,FALSE,FALSE,not on list
R and C trucking,FALSE,FALSE,not on list
Red Line Trucking School LLC,FALSE,FALSE,not on list
Red Zone Trucking,FALSE,FALSE,not on list
Right Lane Trucking School,FALSE,FALSE,Approved
"Roadmaster Drivers School of Fontana, Inc.",TRUE,TRUE,not on list
Saber Trucking School,FALSE,FALSE,not on list
SAC TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
SAFEWAY TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
San Diego Truck Driving School,FALSE,FALSE,not on list
San Joaquin Truck Driving School,FALSE,FALSE,not on list
San Jose Trucking School,FALSE,FALSE,Denied
School of Trucking,FALSE,FALSE,not on list
Sergio School of Trucking,TRUE,TRUE,not on list
Simmon's Trucking School Inc,FALSE,FALSE,not on list
SKILLED CDL TRAINING,FALSE,FALSE,not on list
Skyway Trucking School,TRUE,TRUE,not on list
SoCal Truck Driver Academy LLC.,FALSE,FALSE,not on list
Socal Trucking School,FALSE,FALSE,not on list
south bay truck driving school inc,FALSE,FALSE,not on list
SPCDL Truck Driving School,FALSE,FALSE,not on list
Stockton Truck Driving School LLC,FALSE,FALSE,not on list
SUTTER POINT DRIVING SCHOOL INC,FALSE,FALSE,not on list
TEOFT (Training & Employment Of Truckers),FALSE,FALSE,not on list
The Truck Master School,FALSE,FALSE,not on list
Toro School of Truck Driving,FALSE,FALSE,Approved
Train 4 Less,FALSE,FALSE,not on list
Transportation Guidance & Assistance Truck Driving School,TRUE,TRUE,not on list
Tresser's Trucking School / Able Transportation,FALSE,FALSE,not on list
Tri Counties Truck Driving School,FALSE,FALSE,Approved
Truck Driver Institute,TRUE,TRUE,not on list
Truck Driving Academy,FALSE,FALSE,not on list
Truck Nation School,FALSE,FALSE,not on list
Truckmaster CDL School LLC,FALSE,FALSE,Approved
Twin Cities Equipment Rentals,FALSE,FALSE,not on list
UNION TRUCK SCHOOL,FALSE,FALSE,not on list
UNITED DRIVING SCHOOL INC,FALSE,FALSE,not on list
United Truck Driving School,TRUE,TRUE,not on list
United Truck Driving School,TRUE,TRUE,not on list
"Universal Truck Driving School, Inc",TRUE,TRUE,not on list
US Truck Driving School,FALSE,FALSE,not on list
"Valencia Training Solutions, Inc. dva Valencia Trucking School",TRUE,TRUE,Approved
VALLEY TRUCK DRIVING SCHOOL,FALSE,FALSE,not on list
ventura county trucking academy llc,FALSE,FALSE,not on list
VTS LLC,FALSE,FALSE,not on list
WEST COAST TRUCK SCHOOL INC.,FALSE,FALSE,not on list
West Coast Trucking School LLC,FALSE,FALSE,not on list
Western Pacific Truck School,TRUE,TRUE,not on list
Western Truck School,TRUE,TRUE,not on list
"William M. Maguy School of Education A Division of Proteus, Inc.",TRUE,TRUE,not on list
Xpert Trucking School LLC,FALSE,FALSE,not on list
YG TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
YUBA SUTTER TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list
YUBA TRUCK DRIVING SCHOOL INC,FALSE,FALSE,not on list

Zone 1 Trucking School,FALSE,FALSE,not on list
